mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1.075907866160075,0.0536915245817331,0.022937774658203125,0.0011227456860587297,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.9340050133733645,0.9352152635899604,0.9387090181815994,0.9359764317149747,0.001994400159593108,1,0.9369680033369957,0.9363570872646682,0.9346122281295515,0.9359791062437385,0.0009981888418996777
2.2671914100646973,0.10633698602952878,0.055025974909464516,0.0074036116424760915,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.9340050133733645,0.9352152635899604,0.9387090181815994,0.9359764317149747,0.001994400159593108,1,0.9369680033369957,0.9363570872646682,0.9346122281295515,0.9359791062437385,0.0009981888418996777
1.0673270225524902,0.02829793554134081,0.023242950439453125,0.003378069147068361,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.9340050133733645,0.9352152635899604,0.9387090181815994,0.9359764317149747,0.001994400159593108,1,0.9369680033369957,0.9363570872646682,0.9346122281295515,0.9359791062437385,0.0009981888418996777
2.230453093846639,0.04520091600399275,0.04409432411193848,0.000760665051539823,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.9340050133733645,0.9352152635899604,0.9387090181815994,0.9359764317149747,0.001994400159593108,1,0.9369680033369957,0.9363570872646682,0.9346122281295515,0.9359791062437385,0.0009981888418996777
0.9949483871459961,0.015578883632815057,0.01627969741821289,0.0016950073503312403,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.9257990590622894,0.9312848283801235,0.9290723169549607,0.9287187347991246,0.0022534686608007555,11,0.9326495988078717,0.9313373465029195,0.9306045701016505,0.9315305051374806,0.0008459780516838654
1.825980504353841,0.06768239534988366,0.033786773681640625,0.004743016435352038,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.9243206076033987,0.9308556884138334,0.9300889810560361,0.9284217590244227,0.002916795304982336,12,0.9307823054374406,0.9309468455360946,0.9279420602553862,0.9298904037429737,0.001379323534740874
0.8926370143890381,0.013842486120737477,0.022198597590128582,0.0011802723763732913,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.9281008896555277,0.9352152635899604,0.9282533574310551,0.9305231702255145,0.003318394864102456,9,0.9335662499479929,0.9363570872646682,0.9258762102067529,0.9319331824731379,0.0044318828210182576
1.8351970513661702,0.10182999816624062,0.03193457921346029,0.0042495375667476794,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.921962133262107,0.9326628592712225,0.9343965608511865,0.929673851128172,0.005498749835276638,10,0.9311508766378397,0.9336439013374259,0.9314728847499519,0.9320892209084058,0.0011071572406694092
1.0800431569417317,0.14847055781517227,0.022996981938680012,0.006086020545620674,20,2,100,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",0.9340050133733645,0.9352152635899604,0.9387090181815994,0.9359764317149747,0.001994400159593108,1,0.9369680033369957,0.9363570872646682,0.9346122281295515,0.9359791062437385,0.0009981888418996777
1.9954837163289387,0.14831834745145986,0.03411118189493815,0.0003231386216530681,20,2,200,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",0.9340050133733645,0.9352152635899604,0.9387090181815994,0.9359764317149747,0.001994400159593108,1,0.9369680033369957,0.9363570872646682,0.9346122281295515,0.9359791062437385,0.0009981888418996777
1.007930596669515,0.06500408794864757,0.025111595789591473,0.0015562072662714654,20,5,100,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",0.9340050133733645,0.9352152635899604,0.9387090181815994,0.9359764317149747,0.001994400159593108,1,0.9369680033369957,0.9363570872646682,0.9346122281295515,0.9359791062437385,0.0009981888418996777
1.7498477300008137,0.07218151551728952,0.03495128949483236,0.0005472552592589152,20,5,200,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",0.9340050133733645,0.9352152635899604,0.9387090181815994,0.9359764317149747,0.001994400159593108,1,0.9369680033369957,0.9363570872646682,0.9346122281295515,0.9359791062437385,0.0009981888418996777
